Item Names,ID,Type,Exclusive To,Cost,Effect
Master Roshi Training,00_0_0000,Capsule,,1,25% of a Health bar increase
Rush Attack Boost 1,00_0_0005,Capsule,,1,Rush Damage increase 2.4%
Rush Attack Boost 2,00_0_0006,Capsule,,2,Rush Damage increase 4.6%
Rush Attack Boost 3,00_0_0007,Capsule,,3,Rush Damage increase 7.1%
Smash Attack Boost 1,00_0_0011,Capsule,,1,Rush Chain Damage increase 2.4% Smash Damage increase 2.3%
Smash Attack Boost 2,00_0_0012,Capsule,,2,Rush Chain Damage increase 5% Smash Damage increase 5%
Smash Attack Boost 3,00_0_0013,Capsule,,3,Rush Chain Damage increase  7.1% Smash Damage increase 7.1%
Ki Blast Attack Boost 1,00_0_0014,Capsule,,1,Ki Blast Damage increase 2.1%
Ki Blast Attack Boost 2,00_0_0015,Capsule,,2,Ki Blast Damage increase 4.5%
Ki Blast Attack Boost 3,00_0_0016,Capsule,,3,Ki Blast Damage increase 7%
Power Unleashed,00_0_0023,Capsule,,2,"Increases ""Burst Rush"" Damage by 5%"
Finishing Blow,00_0_0024,Capsule,,2,"Increases ""Burst Meteor"" Damage by 1%"
Blast Burst,00_0_0026,Capsule,,2,Increases Blast Damage by 5% Increases Ki consumption for Blast attacks by 1 bar.
Ultimate Burst,00_0_0027,Capsule,,2,Increases Ultimate Blast damage by 5% and makes the character have negative 1 Ki bar stunning the character
Blast Attack Boost 1,00_0_0028,Capsule,,1,Blast Damage increase 2.3% Ultimate Blast Damage increase 2.4%
Blast Attack Boost 2,00_0_0029,Capsule,,2,Blast Damage increase 5% Ultimate Blast Damage increase 5%
Blast Attack Boost 3,00_0_0030,Capsule,,3,Blast Damage increase 7.2 Ultimate Blast Damage increase 7%
Super Warrior,00_0_0031,Capsule,,2,Increases Rush Attack Damage by 5% while in Sparking
Draconic Aura,00_0_0032,Capsule,,3,Flinches opponent with every hit. Ki blast and melee. Beats Power body and Light body.
Light Body,00_0_0033,Capsule,,3,Cannot be flinched by Ki Blasts (Giants and Sparking ignore this capsule)
Dragon Rush,00_0_0035,Capsule,,2,Flinches opponent with every hit. Melee only. Beats Power Body
The Secret to Counters,00_0_0037,Capsule,,3,Reduces Skill count needed for Super Z-Counters by 1. (Cannot be less than 1) (When you counter a revenge counter)
Fury!,00_0_0038,Capsule,,2,Increase Damage by 5% per health bar. Health bars obtained by items do not count.
Active Heart,00_0_0039,Capsule,,1,5% increase in ki recovery for rush attacks
Indomitable Fighting Spirit,00_0_0040,Capsule,,2,16% increase in ki recovery for rush attacks.
Warming Up,00_0_0041,Capsule,,2,"Gain 25% more health when switched out. Normal  time is 1 health bar per 60seconds, with the item you will get 1.25 bars in 60 seconds"
Ready for Anything,00_0_0042,Capsule,,2,33% Speed increase for standbi ki. usually 90seconds for 2 bars however with the item it takes 60.
Z-Burst Dash Master,00_0_0046,Capsule,,2,Cuts ki consumption in half for Z-burst dashes. Z-Burst dash is the super fast dash that goes around the opponent
The Secret to Z-Burst Dashes,00_0_0047,Capsule,,3,No ki consumption for Z-burst dashes. Z-Burst dash is the super fast dash that goes around the opponent
Proof of Friendship,00_0_0048,Capsule,,3,Switch gauge starts out full at the beginning of battle.
Dragon Spirit,00_0_0055,Capsule,,2,Reduces Skill bar recovery time by 18% from 14seconds to 11.5seconds
Super Transformation,00_0_0066,Capsule,,1,Reduces skill count needed for Fusions and Transformation by 1. (Cannot be below 1)
Fighting Spirit,00_0_0068,Capsule,,3,"Increases Damage by approx 5% per health bar lost. Actual numbers per health bar is 5.5%, 9.1%, 12.5%. Health bars added from items do not count. Applies to Ultimate"
Divine Blow,00_0_0070,Capsule,,2,Increases Ultimate Blast Damage by 5%
Rising Fighting Spirit,00_0_0072,Capsule,,3,Ki gauge starts out full at the beginning of battle.
Power of Namek,00_0_0074,Capsule,,3,Increases All Damage by 2% (Does not effect Defense and Only works on Planet Namek does not work on Destroyed Planet Namek even if the map was destroyed mid match)
Power of Earth,00_0_0075,Capsule,,3,Increases All Damage by 2% (Does not effect Defense and works on every Earth map except City Ruins and Hyperbolic Time Chamber)
Power of the Universe,00_0_0076,Capsule,,3,Increases All Damage by 2% (Does not effect Defense and Only works on Tournament of Power Arena)
Perfect Guard,00_0_0082,Capsule,,3,Take no chip damage while blocking
Crisis Avoided,00_0_0092,Capsule,,1,Short dashes use 7% less ki
Battle Control,00_0_0093,Capsule,,2,Reduces switch time from 25 seconds to 15seconds or 40%
Latent Power Unleashed 1,00_0_0094,Capsule,,1,Start battle with an extra ki gauge.
Latent Power Unleashed 2,00_0_0095,Capsule,,2,Start battle with two extra ki gauge.
Big Impact,00_0_0096,Capsule,,3,(Only works in DP Battles) 500 to start with 1 DP difference then 250 more damage per DP increase. Not punished if it goes lower.
Mind Breaker,00_0_0098,Capsule,,2,Does 1.5 ki bars instead of 1. 50% increase Applies to ki damage after a guard break.
Waters Blessing,00_0_0099,Capsule,,1,Recover 1 health bar in 1minute 40 seconds while in water
Miracle Master,00_0_0101,Capsule,,2,Auto dodges attackes when on the ground.
Latent Power!,00_0_0102,Capsule,,3,"Increases defense by each health bar lost. 2.6%, 8%, 15%"
Guard Master,00_0_0103,Capsule,,3,Guard cannot be broken
Mirage,00_0_0104,Capsule,,3,If you dodge a barrage from a Blast once then you will continuously dodge until it is over.
Dendes Healing Ability,00_0_0111,Capsule,,2,Recieve Half a bar of health every 60 seconds. Attacking or defending doesn't matter
Rising Tension,00_0_0112,Capsule,,2,Recovers 1 ki bar per 60secs
Melee Charge 1,00_0_0113,Capsule,,1,Melee Charge reduction 233ms or 22%
Melee Charge 2,00_0_0114,Capsule,,2,Melee Charge reduction 693ms or 35%
Melee Charge 3,00_0_0115,Capsule,,3,Melee Charge reduction 693ms or 35% (Not an error)
Energy Saver 1,00_0_0116,Capsule,,1,Ki Blasts Ki reduction 1.6%
Energy Saver 2,00_0_0117,Capsule,,2,Ki Blasts Ki reduction 2.5%
Energy Saver 3,00_0_0118,Capsule,,3,Ki Blasts Ki reduction 4.8%
Ki Blast Charge 1,00_0_0119,Capsule,,1,No Effect
Ki Blast Charge 2,00_0_0120,Capsule,,2,No Effect
Ki Blast Charge 3,00_0_0121,Capsule,,3,No Effect
Dragon Assault,00_0_0122,Capsule,,2,"Reduces Ki of Vanishing Assualt(X,RB on standard xbox controls) by 16.5%"
Power Body,00_0_0123,Capsule,,3,Takes 4-5X  (Depends on character) or Smash Attack/Rush Chain to flinch opponent armor applied to BACK as well Decreases Defense by 12% (Giant Characters and Sparking ignore this capsule)
Speed Up,00_0_0124,Capsule,,2,12% ki cost reduction for short dashes
Exquisite Skill,00_0_0125,Capsule,,1,Increase stun on opponent by 16% Decreases users time stunned by 6.2% Applies when stunned or restrained.
Ki Control,00_0_0126,Capsule,,2,"33% less ki consumption for Dragon Dashes,  17% slower ki recovery"
The Secret to Dragon Dashes,00_0_0127,Capsule,,3,33% less ki consumption for Dragon Dashes
Savior,00_0_0128,Capsule,,3,Enter Sparking when switching to the character with this capsule equipped for the first time. (Only works once per match)
Combo Master,00_0_0129,Capsule,,1,Increases damage per hit by .0012%
Combo King,00_0_0130,Capsule,,2,Increases damage per hit by .0035%
God Ki,00_0_0131,Capsule,,3,Resuces ki needed for Blasts by half and if it or an Ultimate misses then you get 1 ki bar back.
Sparking! Plus,00_0_0132,Capsule,,1,Increases Duration of Sparking by 3 secs and reduces defense by 12%
Style of the Strong,00_0_0133,Capsule,,1,Increases Duration of Sparking by 3 secs
Dragon Break,00_0_0134,Capsule,,2,"Increases number of ""Dragon Homing"" uses by one."
Dragon Crash,00_0_0135,Capsule,,3,"Increases ""Dragon Smash"" Damage by 5%"
Vanishing Break,00_0_0136,Capsule,,2,"Increases number of ""Vanishing Attack's"" by one."
Vanishing Crash,00_0_0137,Capsule,,3,"Increases ""Vanishing Attack"" Damage by 5%"
Secret Measures,00_0_0138,Capsule,,3,Skill Count increases by one at the beginning of battle.
Rush Ki Blast 1,00_0_0139,Capsule,,1,Increases Ki blast speed by 1.5%
Rush Ki Blast Count Boost,00_0_0140,Capsule,,2,Increases maximum Ki blast by 2
Master Strike,00_0_0141,Capsule,,2,Increases Rush and Smash attacks by 5% reduces HP by half of one bar
Master Ki Blast,00_0_0142,Capsule,,2,Slightly Increases the speed of Rush ki blasts by 13%. Reduces Ki cost for Rush ki blast by 6.2% and Smash ki blasts by 4.8%. Reduces HP by half of one bar
Master Throw,00_0_0143,Capsule,,2,Increases throw damage by 5%
High-Speed Movement Master,00_0_0144,Capsule,,1,"Reduces Ki consumption of ""High-Speed Movement"" by 20% while also decreasing your defense by 20%"
The Secret to High-Speed Movements,00_0_0145,Capsule,,3,"Reduces Ki consumption of ""High-Speed Movement"" by 20%"
Super Movement Master,00_0_0146,Capsule,,1,"Reduces Ki consumption of ""Super Movement"" by 20% while also decreasing your defense by 20%"
The Secret to Super Movements,00_0_0147,Capsule,,3,"Reduces Ki consumption of ""Super Movement"" by 20%"
Performer,00_0_0148,Capsule,,1,Increases Blast damage by 5% for 30seconds after doing an emote.
Dragon Heart,00_0_0149,Capsule,,3,"Increases the Skill bar by 25% after the user dodged a Blast or Ultimate Blast with ""High-Speed Movement"""
King Kai Training,00_0_0150,Capsule,,2,50% of a Health bar increase
God of Destruction Training,00_0_0151,Capsule,,3,75% of a Health Bar increase
Almighty Boost,00_0_0152,Capsule,,3,"Increase Rush Attack power by 2.44%, Smash Attack power by 2.31%, Rush Chain attack power by 2.40%(Uncharged) & 2.31%(Charged), Rush Ki Blast power by 2.13% and Smash Ki Blast attack power by 2.39%"
Super Sparking!,00_0_0153,Capsule,,3,Increase rush attack power while in sparking! Sparking lasts longer. Details not yet determined
Brolys Ring,00_0_0155,Capsule,,1,Prevents Transformations and Fusions during battle
Balanced Strategy: Melee,00_7_0000,AI,,,
Balanced Strategy: Ki Blasts,00_7_0001,AI,,,
Balanced Strategy: Sparking!,00_7_0002,AI,,,
Attack Strategy: Combos,00_7_0003,AI,,,
Defense Strategy: Counters,00_7_0004,AI,,,
Balanced Strategy: Restrain,00_7_0005,AI,,,
Defense Strategy: Blasts,00_7_0006,AI,,,
Attack Strategy: Ultimate Blasts,00_7_0007,AI,,,
Defense Strategy: Gauge Recovery,00_7_0008,AI,,,
Balanced Strategy: Blasts,00_7_0009,AI,,,
Defense Strategy: Skills,00_7_0010,AI,,,
Attack Strategy: Barrage,00_7_0011,AI,,,
Balanced Strategy: Movement,00_7_0012,AI,,,
Attack Strategy: Evasion,00_7_0013,AI,,,
Attack Strategy: Vanishing,00_7_0014,AI,,,
Outfit 1,00_1_0000_0000_00,Costume,Goku (Z - Early),,
Outfit 1,00_1_0000_0000_10,Costume,Goku (Z - Mid),,
Outfit 1,00_1_0000_0000_11,Costume,Goku (Z - Mid) Super Saiyan,,
Outfit 1,00_1_0000_0000_20,Costume,Goku (Z - End),,
Outfit 1,00_1_0000_0000_21,Costume,Goku (Z - End) Super Saiyan,,
Outfit 1,00_1_0000_0000_22,Costume,Goku (Z - End) Super Saiyan 2,,
Outfit 1,00_1_0000_0000_23,Costume,Goku (Z - End) Super Saiyan 3,,
Outfit 1,00_1_0000_0000_33,Costume,Goku (GT) Super Saiyan 4,,
Outfit 1,00_1_0000_0000_40,Costume,Goku (Super),,
Outfit 1,00_1_0000_0000_41,Costume,Goku (Super) Super Saiyan,,
Outfit 1,00_1_0000_0000_43,Costume,Goku (Super) Super Saiyan God Super Saiyan,,
Outfit 1,00_1_0000_0000_50,Costume,Goku (Super) Ultra Instinct -Sign-,,
Outfit 1,00_1_0000_0000_51,Costume,Goku (Super) Ultra Instinct,,
Outfit 1,00_1_0000_0001_42,Costume,Goku (Super) Super Saiyan God,,
Outfit 1,00_1_0000_0002_30,Costume,Goku (GT),,
Outfit 1,00_1_0000_0002_31,Costume,Goku (GT) Super Saiyan,,
Outfit 1,00_1_0000_0002_32,Costume,Goku (GT) Super Saiyan 3,,
Outfit 1,00_1_0000_0002_50,Costume,Goku (Teen),,
Outfit 1,00_1_0000_0020_00,Costume,Vegeta (Z - Scouter),,
Outfit 1,00_1_0000_0020_10,Costume,Vegeta (Z - Early),,
Outfit 1,00_1_0000_0020_11,Costume,Vegeta (Z - Early) Super Saiyan,,
Outfit 1,00_1_0000_0020_30,Costume,Vegeta (Z - End),,
Outfit 1,00_1_0000_0020_31,Costume,Vegeta (Z - End) Super Saiyan,,
Outfit 1,00_1_0000_0020_32,Costume,Vegeta (Z - End) Super Saiyan 2,,
Outfit 1,00_1_0000_0020_40,Costume,Majin Vegeta,,
Outfit 1,00_1_0000_0020_50,Costume,Vegeta (GT) Super Saiyan 4,,
Outfit 1,00_1_0000_0020_60,Costume,Vegeta (Super),,
Outfit 1,00_1_0000_0020_61,Costume,Vegeta (Super) Super Saiyan,,
Outfit 1,00_1_0000_0020_63,Costume,Vegeta (Super) Super Saiyan God Super Saiyan,,
Outfit 1,00_1_0000_0021_20,Costume,Super Vegeta,,
Outfit 1,00_1_0000_0022_62,Costume,Vegeta (Super) Super Saiyan God,,
Outfit 1,00_1_0000_0023_00,Costume,Great Ape Vegeta,,
Outfit 1,00_1_0000_0030_00,Costume,Gohan (Kid),,
Outfit 1,00_1_0000_0031_00,Costume,Gohan (Teen),,
Outfit 1,00_1_0000_0031_01,Costume,Gohan (Teen) Super Saiyan,,
Outfit 1,00_1_0000_0031_02,Costume,Gohan (Teen) Super Saiyan 2,,
Outfit 1,00_1_0000_0032_00,Costume,Gohan (Adult),,
Outfit 1,00_1_0000_0032_01,Costume,Gohan (Adult) Super Saiyan,,
Outfit 1,00_1_0000_0032_02,Costume,Gohan (Adult) Super Saiyan 2,,
Outfit 1,00_1_0000_0032_10,Costume,Great Saiyaman,,
Outfit 1,00_1_0000_0032_20,Costume,Ultimate Gohan,,
Outfit 1,00_1_0000_0032_30,Costume,Gohan (Future),,
Outfit 1,00_1_0000_0032_31,Costume,Gohan (Future) Super Saiyan,,
Outfit 1,00_1_0000_0040_00,Costume,Piccolo,,
Outfit 1,00_1_0000_0040_10,Costume,Piccolo (Fused with Kami),,
Outfit 1,00_1_0000_0040_20,Costume,Nail,,
Outfit 1,00_1_0000_0050_00,Costume,Krillin,,
Outfit 1,00_1_0000_0060_00,Costume,Yamcha,,
Outfit 1,00_1_0000_0070_00,Costume,Tien,,
Outfit 1,00_1_0000_0080_00,Costume,Trunks (Sword),,
Outfit 1,00_1_0000_0080_01,Costume,Trunks (Sword) Super Saiyan,,
Outfit 1,00_1_0000_0080_10,Costume,Trunks (Melee),,
Outfit 1,00_1_0000_0080_11,Costume,Trunks (Melee) Super Saiyan,,
Outfit 1,00_1_0000_0080_30,Costume,Future Trunks,,
Outfit 1,00_1_0000_0080_31,Costume,Future Trunks Super Saiyan,,
Outfit 1,00_1_0000_0081_20,Costume,Super Trunks,,
Outfit 1,00_1_0000_0082_00,Costume,Trunks (Kid),,
Outfit 1,00_1_0000_0082_01,Costume,Trunks (Kid) Super Saiyan,,
Outfit 1,00_1_0000_0090_00,Costume,Goten,,
Outfit 1,00_1_0000_0090_01,Costume,Goten Super Saiyan,,
Outfit 1,00_1_0000_0100_00,Costume,Vegito,,
Outfit 1,00_1_0000_0100_01,Costume,Super Vegito,,
Outfit 1,00_1_0000_0100_02,Costume,Vegito Super Saiyan God Super Saiyan,,
Outfit 1,00_1_0000_0110_00,Costume,Gogeta (Super),,
Outfit 1,00_1_0000_0110_01,Costume,Gogeta (Super) Super Saiyan,,
